PLAN 1, FREQ 1 sec, 500kb file

Twin Patch received
     {'$version': 5, 'Active': True, 'FileName': 'p001.mp3', 'IntervalSec': 1, 'UploadTarget': 10}
Total calls confirmed: 4
Twin Patch received
     {'$version': 18, 'Active': True, 'FileName': 'p003.mp3', 'IntervalSec': 3, 'UploadTarget': 10}
Total calls confirmed: 17
Start job
COMPRESSION START: 2023-07-18 20:25:47.001067
COMPRESSION END: 2023-07-18 20:25:54.120319
UPLOAD START: 2023-07-18 20:25:55.774623
UPLOAD COMPLETED: 2023-07-18 20:26:10.459694
COMPRESSION START: 2023-07-18 20:26:10.459871
COMPRESSION END: 2023-07-18 20:26:17.423680
UPLOAD START: 2023-07-18 20:26:19.775333
UPLOAD COMPLETED: 2023-07-18 20:26:34.943821
COMPRESSION START: 2023-07-18 20:26:34.944028
COMPRESSION END: 2023-07-18 20:26:41.952057
UPLOAD START: 2023-07-18 20:26:43.774799
UPLOAD COMPLETED: 2023-07-18 20:26:53.286337
COMPRESSION START: 2023-07-18 20:26:53.286494
COMPRESSION END: 2023-07-18 20:27:00.363748
UPLOAD START: 2023-07-18 20:27:01.774386
UPLOAD COMPLETED: 2023-07-18 20:27:08.730382
COMPRESSION START: 2023-07-18 20:27:08.730542
